timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1531558114452,1,Debug Sampler 3-3,200,OK,线程组 3 1-2,text,true,,203,0,12,12,0,0,0
1531558114463,0,Debug Sampler 3-1,200,OK,线程组 3 1-8,text,true,,203,0,12,12,0,0,0
1531558114512,1,Debug Sampler 3-2,200,OK,线程组 3 1-7,text,true,,202,0,13,13,0,0,0
1531558114514,1,Debug Sampler 3-1,200,OK,线程组 3 1-1,text,true,,203,0,13,13,0,0,0
1531558114543,0,Debug Sampler 3-1,200,OK,线程组 3 1-12,text,true,,203,0,13,13,0,0,0
1531558114554,0,Debug Sampler 3-3,200,OK,线程组 3 1-6,text,true,,202,0,13,13,0,0,0
1531558114594,1,Debug Sampler 3-2,200,OK,线程组 3 1-11,text,true,,203,0,13,13,0,0,0
1531558114604,0,Debug Sampler 3-1,200,OK,线程组 3 1-5,text,true,,202,0,13,13,0,0,0
1531558114644,0,Debug Sampler 3-2,200,OK,线程组 3 1-4,text,true,,203,0,13,13,0,0,0
1531558114654,0,Debug Sampler 3-3,200,OK,线程组 3 1-10,text,true,,203,0,13,13,0,0,0
1531558114684,1,Debug Sampler 3-3,200,OK,线程组 3 1-3,text,true,,203,0,13,13,0,0,0
1531558114705,0,Debug Sampler 3-1,200,OK,线程组 3 1-9,text,true,,202,0,13,13,0,0,0
1531558114745,0,Debug Sampler 3-1,200,OK,线程组 3 1-2,text,true,,203,0,14,14,0,0,0
1531558114755,0,Debug Sampler 3-2,200,OK,线程组 3 1-8,text,true,,203,0,14,14,0,0,0
1531558114795,0,Debug Sampler 3-1,200,OK,线程组 3 1-13,text,true,,203,0,14,14,0,0,0
1531558114815,0,Debug Sampler 3-3,200,OK,线程组 3 1-7,text,true,,203,0,14,14,0,0,0
1531558114816,0,Debug Sampler 3-2,200,OK,线程组 3 1-1,text,true,,202,0,14,14,0,0,0
1531558114845,0,Debug Sampler 3-2,200,OK,线程组 3 1-12,text,true,,202,0,14,14,0,0,0
1531558114855,1,Debug Sampler 3-1,200,OK,线程组 3 1-6,text,true,,203,0,14,14,0,0,0
1531558114896,0,Debug Sampler 3-3,200,OK,线程组 3 1-11,text,true,,203,0,14,14,0,0,0
1531558114906,0,Debug Sampler 3-2,200,OK,线程组 3 1-5,text,true,,203,0,14,14,0,0,0
1531558114945,0,Debug Sampler 3-3,200,OK,线程组 3 1-4,text,true,,203,0,14,14,0,0,0
1531558114955,1,Debug Sampler 3-1,200,OK,线程组 3 1-10,text,true,,202,0,14,14,0,0,0
1531558114986,0,Debug Sampler 3-1,200,OK,线程组 3 1-3,text,true,,203,0,14,14,0,0,0
1531558115006,0,Debug Sampler 3-2,200,OK,线程组 3 1-9,text,true,,203,0,15,15,0,0,0
